company_id,company_name,sector,year,pe,pb,ev_ebitda,fcf_yield_pct,five_year_median_pe,pe_vs_sector_median_pct,flag,market_cap_crore
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,2024,20.78,8.26,29.97,0.3282212496887102,20.78,-45.3229838179187,Discount,1503863.63
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,2024,14.22,0.81,29.08,-0.2694648852484086,34.84,-62.58387054334956,Discount,4173085.48
TRENT,Trent Ltd,Consumer Discretionary,2024,8.65,11.82,34.65,0.0,65.94,-77.23983686357059,Discount,571322.04
SHREECEM,Shree Cement Ltd,Materials,2024,25.87,1.21,26.58,0.06115348347250073,32.7,-53.48795397339086,Discount,3154358.33
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,2024,68.53,7.91,28.82,-3.608906905151208,37.85,100.14602803738315,Caution,868933.47
COALINDIA,Coal India Ltd,Materials,2024,34.27,14.75,25.15,2.9991751112119767,32.17,-38.38547285149227,Discount,454024.84
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,2024,16.79,10.36,13.52,-3.9650923712808046,33.3,-50.96378504672898,Discount,971931.96
DMART,Avenue Supermarts Ltd,Consumer Discretionary,2024,72.53,11.71,36.84,0.00910553222430331,37.82,90.84331009077754,Caution,3053088.97
PNB,Punjab National Bank,Financials,2024,19.29,10.91,23.64,-1.6126067787208855,20.42,-43.6623831775701,Discount,1825925.6
SBIN,State Bank of India,Financials,2024,54.93,2.72,21.53,0.7563625783740417,54.93,60.426401869158866,Caution,2400436.05
SBILIFE,SBI Life Insurance Company Ltd,Financials,2024,69.98,9.48,31.04,-0.23688132542403253,60.68,104.38084112149531,Caution,886097.71
PIDILITIND,Pidilite Industries Ltd,Materials,2024,36.12,12.3,5.36,0.588510137595519,38.11,-35.05933117583603,Discount,162274.18
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,2024,34.51,11.88,7.52,1.8482736240750641,22.92,-32.26692836113838,Discount,548890.59
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,2024,33.59,8.07,23.55,-0.10280184353453976,40.79,-34.07262021589793,Discount,1327797.2
GRASIM,Grasim Industries Ltd,Industrials,2024,79.35,5.68,15.23,-7.063967310949983,38.27,68.27483829922593,Caution,478951.82
HAL,Hindustan Aeronautics Ltd,Industrials,2024,71.89,3.65,8.76,0.06861811283803056,51.22,52.454670766620715,Caution,2643616.86
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,2024,15.62,13.61,19.29,0.4001945575069012,18.91,-58.900144717800295,Discount,222391.83
BEL,Bharat Electronics Ltd,Industrials,2024,17.89,9.22,23.14,-0.09337302073000636,52.67,-62.06128724419469,Discount,1354781.06
BAJFINANCE,Bajaj Finance Ltd,Financials,2024,69.2,4.11,15.96,-3.2317922805711454,46.9,102.10280373831777,Caution,2473271.58
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,2024,67.07,0.93,15.35,3.000651602734764,34.17,76.47677937113535,Caution,1504106.64
TATAPOWER,"Tata Power Company Ltd
",Energy,2024,14.5,3.48,12.02,0.2166615750083587,24.7,-67.71679839697205,Discount,1647269.48
BAJAJFINSV,Bajaj Finserv Ltd,Financials,2024,15.07,6.08,39.72,0.0,51.06,-55.98714953271029,Discount,1905112.17
BHEL,"Bharat Heavy Electricals Limited
",Industrials,2024,29.8,11.43,21.59,-0.4410671269170658,31.13,-36.804156505142615,Discount,540053.85
BPCL,Bharat Petroleum Corporation Ltd,Energy,2024,68.15,0.72,26.59,5.422883218663305,35.8,51.731047534231344,Caution,468662.13
BOSCHLTD,Bosch Ltd,Consumer Discretionary,2024,58.43,6.47,16.07,0.05908701218425355,31.28,53.74292856203131,Caution,2599556.05
BANKBARODA,Bank of Baroda,Financials,2024,16.89,4.15,24.7,-1.279081332956056,67.24,-50.671728971962615,Discount,590971.02
